team1,seed1,team2,seed2,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff,region1,region2
Liberty,12,Auburn,1,-7.200000000000003,-6.699999999999996,-4.900000000000006,-0.5600000000000005,-16.650000000000002,-16.68,-4.59,-18.69999999999999,9.980000000000004,east,south
Liberty,12,Louisville,8,-2,-6.000000000000007,-4.400000000000006,4,-10.91,-9.47,-1.5,-7.689999999999998,6.640000000000001,east,south
Liberty,12,Michigan,5,-1.7000000000000028,-8.300000000000004,-2.9000000000000057,6.6499999999999995,-14.4,-10.350000000000001,-1.459999999999999,-6.099999999999994,8.829999999999998,east,south
Liberty,12,Texas A&M,4,2.299999999999997,-5.000000000000007,-1.7999999999999972,7.3,-14.94,-6.01,-5.6899999999999995,-6.049999999999997,10.030000000000001,east,south
Liberty,12,Ole Miss,6,-0.6000000000000085,-8.800000000000004,-2.5999999999999943,8.23,-13.75,-8.450000000000001,-1.1400000000000006,-6.640000000000001,6.019999999999996,east,south
Liberty,12,Iowa State,3,-3.8000000000000114,-5.199999999999996,-1.9000000000000057,1.379999999999999,-12,-11.280000000000001,-3.4000000000000004,-9.319999999999993,10.340000000000003,east,south
Liberty,12,Marquette,7,-0.30000000000001137,-5.600000000000001,-3.4000000000000057,5.35,-11.78,-8.530000000000001,-1.959999999999999,-7.590000000000003,6.290000000000006,east,south
Liberty,12,Michigan State,2,-1.6000000000000085,-4.300000000000004,-0.4000000000000057,2.7699999999999996,-12.84,-8.680000000000001,-5.449999999999999,-8.349999999999994,10.5,east,south
Liberty,12,Florida,1,-8.800000000000011,-6.300000000000004,-7.099999999999994,-2.5,-13.1,-16.52,-3.1400000000000006,-16.129999999999995,10.099999999999994,east,west
Liberty,12,UConn,8,-0.8000000000000114,-5.100000000000001,0,4.32,-9.7,-7.489999999999999,-1.959999999999999,-11.650000000000006,1.1200000000000045,east,west
Liberty,12,Memphis,5,-3.5,-10.300000000000004,-6,6.77,-6.97,-8.100000000000001,3.84,-2.3799999999999955,2.4599999999999937,east,west
Liberty,12,Maryland,4,-5.1000000000000085,-4.100000000000001,-0.29999999999999716,-0.9900000000000002,-10.11,-11.25,-3.91,-8.769999999999996,10.599999999999994,east,west
Liberty,12,Missouri,6,-7.900000000000006,-10.899999999999999,-2.4000000000000057,3.0700000000000003,-11.08,-13.950000000000001,1.88,-14.560000000000002,1.269999999999996,east,west
Liberty,12,Texas Tech,3,-4.300000000000011,-4.699999999999996,-1.2000000000000028,0.34999999999999964,-11.83,-12.290000000000001,-3.26,-15.689999999999998,6.3799999999999955,east,west
