"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"207",5,"Marquette",12,"Rice",58,54,"Marquette","region2",2019
"208",4,"Texas A&M",13,"Wright State",84,61,"Texas A&M","region2",2019
"209",6,"DePaul",11,"Missouri State",78,89,"Missouri State","region2",2019
"210",3,"Iowa State",14,"New Mexico State",97,61,"Iowa State","region2",2019
"211",7,"BYU",10,"Auburn",73,64,"BYU","region2",2019
"212",2,"Stanford",15,"UC-Davis",79,54,"Stanford","region2",2019
"213",1,"Notre Dame",9,"Michigan State",91,63,"Notre Dame","region2",2019
"214",5,"Marquette",4,"Texas A&M",76,78,"Texas A&M","region2",2019
"215",11,"Missouri State",3,"Iowa State",69,60,"Missouri State","region2",2019
"216",7,"BYU",2,"Stanford",63,72,"Stanford","region2",2019
"217",1,"Notre Dame",4,"Texas A&M",87,80,"Notre Dame","region2",2019
"218",11,"Missouri State",2,"Stanford",46,55,"Stanford","region2",2019
"219",1,"Notre Dame",2,"Stanford",84,68,"Notre Dame","region2",2019
"220",1,"Baylor",16,"Abilene Christian",95,38,"Baylor","region3",2019
"221",8,"California",9,"UNC",92,72,"California","region3",2019
"222",5,"Florida State",12,"Bucknell",70,67,"Florida State","region3",2019
"223",4,"South Carolina",13,"Belmont",74,52,"South Carolina","region3",2019
"224",6,"Kentucky",11,"Princeton",82,77,"Kentucky","region3",2019
"225",3,"NC State",14,"Maine",63,51,"NC State","region3",2019
"226",7,"Missouri",10,"Drake",77,76,"Missouri","region3",2019
"227",2,"Iowa",15,"Mercer",66,61,"Iowa","region3",2019
"228",1,"Baylor",8,"California",102,63,"Baylor","region3",2019
"229",5,"Florida State",4,"South Carolina",64,72,"South Carolina","region3",2019
"230",6,"Kentucky",3,"NC State",57,72,"NC State","region3",2019
"231",7,"Missouri",2,"Iowa",52,68,"Iowa","region3",2019
"232",1,"Baylor",4,"South Carolina",93,68,"Baylor","region3",2019
"233",3,"NC State",2,"Iowa",61,79,"Iowa","region3",2019
"234",1,"Baylor",2,"Iowa",85,53,"Baylor","region3",2019
"235",1,"Mississippi State",16,"Southern",103,46,"Mississippi State","region4",2019
"236",8,"South Dakota",9,"Clemson",66,79,"Clemson","region4",2019
"237",5,"Arizona State",12,"UCF",60,45,"Arizona State","region4",2019
"238",4,"Miami (FL)",13,"Florida Gulf Coast",69,62,"Miami (FL)","region4",2019
"239",6,"South Dakota State",11,"Quinnipiac",76,65,"South Dakota State","region4",2019
"240",3,"Syracuse",14,"Fordham",70,49,"Syracuse","region4",2019
"241",7,"Texas",10,"Indiana",65,69,"Indiana","region4",2019
