"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"795","BYU","Big 12",16,17,65.4,65.7,69.4,-0.33,11.1,5.77,4.99,99.62,85.64,2022
"796","Clemson","ACC",12,19,69.6,70.3,73,-0.65,11.18,8.99,1.55,102.83,88.62,2022
"797","Cincinnati","Big 12",14,18,62.4,66,73,-3.59,13.48,3.09,6.8,96.67,83.28,2022
"798","Houston","Big 12",14,16,67.7,68.6,71.7,-0.97,10.7,7.37,2.36,96.6,85.01,2022
"799","Santa Clara","WCC",25,9,69.6,59.1,65.7,10.41,2.32,4.58,5.15,103.25,89.08,2022
"800","St. John's (NY)","Big East",18,15,60.4,58.2,74.2,2.21,7.31,0.06,9.46,99.22,85.66,2022
"801","Marshall","Sun Belt",26,7,85.3,71.8,65.9,13.48,-0.81,16.8,-7.29,102.18,90.97,2022
"802","Georgia","SEC",12,18,63.2,66.9,73,-3.7,13.12,2.79,6.63,94.86,83.05,2022
"803","Virginia Commonwealth","A-10",26,6,63.3,53.2,66.5,10.13,-0.05,-1.36,10.5,96.19,82.54,2022
"804","Georgetown","Big East",23,12,57.9,55.1,68.8,2.74,6.39,-3.08,12.21,93.31,80.48,2022
"805","Rhode Island","A-10",21,14,64.1,56.7,67,7.46,1.61,0.62,8.44,96.15,83.45,2022
"806","Oregon","Pac-12",11,21,59.8,67.3,67.7,-7.5,16.54,1.81,7.23,96.18,84.6,2022
"807","Stony Brook","CAA",28,5,72.9,57.6,70.6,15.27,-6.32,6.73,2.23,95.29,83.86,2022
"808","Ball State","MAC",28,6,72.7,60.9,72.6,11.76,-2.05,4.47,4.48,99.26,86.61,2022
"809","Temple","AAC",20,12,69.9,62.9,71.2,7.03,1.84,5.75,3.12,96.16,84.36,2022
"810","North Texas","AAC",23,9,74.3,64.2,69.8,10.16,0.76,8.46,0.36,99.23,87.49,2022
"811","Cleveland State","Horizon",29,6,74.3,61.4,70.5,12.94,-4.33,6.21,2.41,99.25,87.89,2022
"812","Davidson","A-10",18,8,65,55.4,67.7,9.58,-1.06,0.11,8.41,98.8,86.55,2022
"813","Rice","AAC",19,15,67.2,63,70.5,4.15,3.82,2.73,5.24,95.81,84.74,2022
"814","Arizona State","Pac-12",11,20,61.5,70.1,66.6,-8.65,16.42,4.13,3.64,97.85,88.02,2022
"815","DePaul","Big East",12,20,71.2,71.4,81.3,-0.16,7.74,11.59,-4,98.79,88.94,2022
"816","Eastern Washington","Big Sky",29,6,68.3,56.1,70.6,12.2,-3.31,1.61,5.78,94.35,83.67,2022
"817","Tulsa","AAC",25,10,70.9,66.9,68.9,3.94,3.44,6.8,0.58,96.94,87.56,2022
"818","Portland","WCC",21,13,67.9,62.4,68.3,5.5,3.77,2.82,4.29,91.9,82.51,2022
"819","Harvard","Ivy",16,12,68.9,63.4,73.7,5.46,1.6,4.59,2.48,98.89,89.4,2022
"820","Wisconsin","Big Ten",15,17,62.7,67.9,67.2,-5.16,12.11,0.24,6.71,92.43,83.94,2022
"821","South Florida","AAC",19,14,64.2,60.2,66.5,4,2.93,-0.56,7.49,96.12,87.18,2022
"822","Northern Iowa","MVC",16,16,73.4,70.5,69,2.94,3.79,7.15,-0.42,101.46,92.13,2022
"823","East Carolina","AAC",19,14,65.6,62.8,73.9,2.82,3.69,2.59,3.91,91.87,84.76,2022
"824","Grand Canyon","WAC",24,8,69.5,56.2,69.9,13.28,-5.01,-1.19,7.5,93.76,83.9,2022
"825","Wake Forest","ACC",7,25,59.5,67.6,71.4,-8.06,14.11,-0.12,6.17,95.55,88.41,2022
"826","Troy","Sun Belt",22,12,80.9,75,81.4,5.82,0.21,16.07,-10.03,99.5,92.45,2022
"827","Murray State","MVC",20,12,84.5,75.2,66.4,9.28,-2,16.28,-10.58,102.77,95.74,2022
"828","Montana","Big Sky",23,10,72.5,63.8,69.2,8.64,-1.64,6.51,-0.83,102.67,94.59,2022
"829","Missouri State","MVC",23,10,69.3,63.6,69.7,5.67,-0.14,1.76,3.77,96.66,88.73,2022
"830","Colorado State","MWC",20,11,68.6,61.2,68.4,7.39,-1.03,2.22,3.18,96.52,88.91,2022
"831","Wyoming","MWC",18,15,63.8,59.8,63.9,3.97,2.56,-0.79,6,97.81,90.21,2022
"832","Fairfield","MAAC",31,2,72.5,55.2,66.8,17.3,-10.1,2.88,2.14,95.6,89.09,2022
"833","James Madison","Sun Belt",23,12,72.3,66.5,70.7,5.77,1.2,5.26,-0.27,94.8,88.42,2022
"834","North Dakota State","Summit",22,12,75.4,68.5,66.7,6.97,-0.04,6.09,-1.09,99.82,93.33,2022
"835","Jackson State","SWAC",26,7,71.4,57.5,77.6,13.88,-4.55,1.85,2.91,94.67,87.44,2022
"836","Butler","Big East",15,17,62.5,62,69.8,0.5,5.95,-0.47,5.19,97.34,91.77,2022
"837","Southern Methodist","AAC",14,16,69.8,68.3,70.8,1.5,3.1,5.92,-1.33,97.23,91.27,2022
"838","Providence","Big East",13,21,58,61.5,71.4,-3.56,7.99,-2.56,7,89.87,84.1,2022
"839","Memphis","AAC",13,17,67.6,69.3,69.6,-1.7,6.08,4.48,-0.1,90.92,85.18,2022
"840","Kentucky","SEC",12,20,64.4,74.4,73.6,-10,14.28,5.38,-1.1,95.35,89.82,2022
"841","Kent State","MAC",21,11,71.8,62.8,67.3,9,-0.65,4.88,-0.66,97.95,91.91,2022
"842","Illinois State","MVC",22,12,74.3,68.6,66.6,5.68,-0.9,5.42,-1.61,98.29,93.61,2022
