team,conf,adj_oe,adj_de,barthag,efg_o,efg_d,tor,tor_d,orb,drb,ftr,ftr_d,x2p_o,x2p_d,x3p_o,x3p_d,adj_t,wab,postseason,seed,year
North Carolina,ACC,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1,2016
Wisconsin,B10,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1,2015
Michigan,B10,114.4,90.4,0.9375,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,65.9,6.9,2ND,3,2018
Texas Tech,B12,115.2,85.2,0.9696,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7,2ND,3,2019
Gonzaga,WCC,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,71.5,7.7,2ND,1,2017
Kentucky,SEC,117.2,96.2,0.9062,49.9,46,18.1,16.1,42,29.7,51.8,36.8,50,44.9,33.2,32.2,65.9,3.9,2ND,8,2014
Michigan,B10,121.5,93.7,0.9522,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6.2,2ND,4,2013
Duke,ACC,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,Champions,1,2015
Virginia,ACC,123,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,Champions,1,2019
North Carolina,ACC,121,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,8.4,Champions,1,2017
Villanova,BE,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,Champions,2,2016
Villanova,BE,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,Champions,1,2018
Connecticut,Amer,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,64.8,4.7,Champions,7,2014
Louisville,BE,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,Champions,1,2013
Louisville,ACC,109.4,87.4,0.929,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,5.8,E8,4,2015
Notre Dame,ACC,125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,63.9,8.6,E8,3,2015
Notre Dame,ACC,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,E8,6,2016
Virginia,ACC,119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,E8,1,2016
Duke,ACC,122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,70.9,6.6,E8,2,2018
Florida St.,ACC,113.2,96.4,0.8631,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,72.5,0.9,E8,9,2018
Duke,ACC,118.9,89.2,0.9646,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,73.6,11.2,E8,1,2019
Purdue,B10,122.8,94.3,0.9539,53.6,49,15.8,18.6,34.5,27,29.9,31.7,51.5,47.2,37.4,34.2,67,6.1,E8,3,2019
Kansas,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,E8,1,2016
Kansas,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,71.4,11,E8,1,2017
Kansas St.,B12,109.6,93.7,0.8584,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,66.5,2.5,E8,9,2018
Texas Tech,B12,112.7,91.5,0.917,52,46.4,17.8,21.7,32.9,28.7,39.3,38,51.1,45.1,35.9,32.3,67.6,4.7,E8,3,2018
Xavier,BE,115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,68.4,1.6,E8,11,2017
Arizona,P12,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,E8,2,2015
Oregon,P12,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,E8,1,2016
Florida,SEC,116.6,88.9,0.9576,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,70.2,6.4,E8,4,2017
Kentucky,SEC,118.3,91.3,0.9517,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,9,E8,2,2017
Kentucky,SEC,117.5,89.8,0.9568,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,E8,2,2019
Gonzaga,WCC,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,65.2,7.8,E8,2,2015
Gonzaga,WCC,123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,7,E8,1,2019
Arizona,P12,116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,64.3,9.4,E8,1,2014
Michigan,B10,125,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,7.7,E8,2,2014
Michigan St.,B10,119.6,95.3,0.9319,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,66.2,6.9,E8,4,2014
Dayton,A10,113,99.1,0.8188,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,65.4,0.6,E8,11,2014
Ohio St.,B10,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,E8,2,2013
Duke,ACC,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,67.8,7.5,E8,2,2013
Marquette,BE,113,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,E8,3,2013
Florida,SEC,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,62.8,4.1,E8,3,2013
Syracuse,ACC,111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,-0.3,F4,10,2016
Michigan St.,B10,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,F4,7,2015
Michigan St.,B10,119.9,91,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,F4,2,2019
Oklahoma,B12,118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,70.8,8,F4,2,2016
Kansas,B12,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,F4,1,2018
Loyola Chicago,MVC,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,2,F4,11,2018
Oregon,P12,117.8,93.8,0.9321,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,68.4,6,F4,3,2017
Kentucky,SEC,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,F4,1,2015
South Carolina,SEC,108.7,89,0.9083,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,F4,7,2017
Auburn,SEC,121.3,95.2,0.942,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,F4,5,2019
Florida,SEC,115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,63.1,11.7,F4,1,2014
Wisconsin,B10,122.7,95.9,0.9441,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,63.9,7.9,F4,2,2014
Syracuse,BE,113,87,0.9533,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,F4,4,2013
Wichita St.,MVC,110.6,91,0.9045,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65,2.2,F4,9,2013
Dayton,A10,107,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,R32,11,2015
Saint Joseph's,A10,114.2,97.6,0.86,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,52.3,49.2,32.7,31.1,70.9,3.4,R32,8,2016
VCU,A10,112.1,94.2,0.8811,51,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,70.3,-0.1,R32,10,2016
Rhode Island,A10,111.1,94.1,0.8717,50.8,45,16.4,19.4,32.8,29.7,39.2,45,51.2,45.4,33.3,29.5,67.7,0.4,R32,11,2017
Rhode Island,A10,109.7,97.3,0.7988,51.1,50.4,15.3,22.6,31,28.2,30.1,40.6,50.4,50.6,35.2,33.2,69.6,1.6,R32,7,2018
Virginia,ACC,112.1,84.1,0.9648,50.6,42.3,15.7,17.9,34.3,24.2,34.9,28.6,49.7,40.1,35.2,30.8,58.4,10,R32,2,2015
Duke,ACC,122.1,95.6,0.9436,54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,53.5,48.9,37.9,29.3,69.7,8.6,R32,2,2017
Florida St.,ACC,115.4,95.2,0.9014,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,54.4,45.4,34.7,34.9,72.8,5.9,R32,3,2017
Louisville,ACC,117.6,91.5,0.9469,51.4,45.7,16,19.6,36.7,28.5,34,38.8,50.5,44.8,35.5,31.6,69.4,6.9,R32,2,2017
Notre Dame,ACC,119.3,96.4,0.9205,53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,50.9,48.2,38.4,33.8,68.3,5.9,R32,5,2017
Virginia,ACC,111.8,86.9,0.9477,52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,49.7,45.1,38.5,31.7,60.3,5,R32,5,2017
North Carolina,ACC,120.7,97.1,0.9242,52,50.1,16.7,16.3,37.4,25.5,28,26,51,45.3,35.9,38,72.6,7.1,R32,2,2018
UMBC,AE,102.1,102.2,0.4963,52.2,51.6,17.2,20.7,25.9,28.3,30.2,30.8,48.1,51,38.2,35,69.3,-4.9,R32,16,2018
Cincinnati,Amer,106.5,92.3,0.838,49.5,44.1,21,19.9,37.3,32.3,37.1,26.1,49.6,42.2,32.9,31.9,60.3,-1.3,R32,8,2015
Connecticut,Amer,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,66.9,1.2,R32,9,2016
Cincinnati,Amer,115.2,92.1,0.9292,52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,52.1,41.4,34.5,34.4,65.4,5.6,R32,6,2017
Cincinnati,Amer,111.6,87.7,0.9417,51.2,43.3,17,21.6,38.5,28.2,36,26.8,50.2,41.4,35.3,30.9,66.2,5.9,R32,2,2018
Houston,Amer,114.8,93.9,0.9097,53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,50.5,43.8,38.7,32.3,69.4,2.4,R32,6,2018
UCF,Amer,112.7,93.3,0.898,52.9,45.4,17.6,18,29.5,29.6,45.3,29.2,52,44.5,36.5,31.3,66.4,2,R32,9,2019
Iowa,B10,114,92,0.9211,48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,47.3,43.7,33.3,32.6,64.6,2.1,R32,7,2015
Maryland,B10,110.2,94,0.8619,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,48,44.1,37.6,31.8,64.5,6.9,R32,4,2015
Ohio St.,B10,113.9,93.1,0.9104,54.2,46.4,17,21.6,33.5,32,34.7,27.8,53.6,45.2,37,32.2,66.3,2.5,R32,10,2015
Iowa,B10,114.4,95.8,0.8853,51.3,48,14.8,18.8,31.9,31.3,33,25,48.7,48.7,37.4,31.3,69.8,2,R32,7,2016
Michigan St.,B10,111.6,94.9,0.8661,54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,52.9,44.1,37.3,34.6,68.1,0.4,R32,9,2017
Northwestern,B10,111.2,95.2,0.8564,49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,48.8,44,34.2,33.3,66.9,2,R32,8,2017
Michigan St.,B10,118.9,94.3,0.9347,56.9,42.7,19.2,14.6,37,26.6,35.9,30.7,55.2,38.4,40.1,33.7,68,8,R32,3,2018
Ohio St.,B10,116,94.3,0.9154,54.1,48.7,17.1,17.9,30.2,25.2,31.1,29.5,54.7,46.1,35.3,35.1,68.2,4.5,R32,5,2018
Iowa,B10,116.1,100.6,0.8385,52.7,51.5,17.2,18.4,29.8,29.4,42.3,28.8,51.4,53.5,36.4,32.4,70.9,3.2,R32,10,2019
Maryland,B10,111.6,93.3,0.8875,51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,50.8,44.7,34.9,31.9,67.7,4.2,R32,6,2019
Minnesota,B10,110.4,96.3,0.8284,48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,48.5,48.7,31.7,34,68.8,2.7,R32,10,2019
Ohio St.,B10,107.8,93.8,0.8329,50.3,48.3,18.7,18.2,27.6,25.9,33.7,31.8,49.7,47.9,34.1,32.7,67.2,0.9,R32,11,2019
Kansas,B12,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9,R32,2,2015
Iowa St.,B12,120,96.2,0.9265,55,49,14.1,19.5,25.7,31.6,27.6,25.6,51.8,47.5,40,34.6,69.6,6.5,R32,5,2017
Baylor,B12,114.6,99.2,0.84,51.2,49.1,19.7,18.6,37.9,29.4,32.3,36.5,51.2,47.5,34.1,34.5,66.6,0.9,R32,9,2019
Kansas,B12,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46,35,33.6,71.5,8.3,R32,4,2019
Oklahoma,B12,110.5,93.1,0.878,50.4,47.5,17,17.3,25.8,27.8,31.3,23.1,49.7,45.8,34.6,33.3,70.3,2.5,R32,9,2019
Butler,BE,108.5,88.6,0.9115,48.4,46.7,17,19.5,34.7,25.3,40.8,33.4,46.3,47.1,35.6,30.7,63.9,3.5,R32,6,2015
Georgetown,BE,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,50.5,43.1,35.3,36.2,64.6,3.7,R32,4,2015
Villanova,BE,121.9,91.1,0.9663,55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,53,45.3,38.9,30.5,64.7,11.3,R32,1,2015
Butler,BE,118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,69.2,2,R32,9,2016
Providence,BE,108.7,95.4,0.8193,48,49.3,16.1,20.6,30.4,30.3,37.3,28,48,49.8,32.1,32.3,69.3,3.4,R32,9,2016
Xavier,BE,117,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,R32,2,2016
Villanova,BE,122.2,92.5,0.9611,57.5,48.1,17.1,20.1,30.2,27.8,35,22.1,59.2,49.1,36.9,31.1,65.6,11.1,R32,1,2017
Butler,BE,116.1,95.3,0.9068,54,51.9,15.7,19.5,27.6,24.6,26.1,35.3,54.3,49.5,35.7,37.3,69.1,1.7,R32,10,2018
Seton Hall,BE,117.8,98.2,0.8902,52.9,50.3,17.8,17.7,34.3,28.4,35.2,29.8,52,50,36.5,33.8,70.7,2.5,R32,8,2018
Xavier,BE,120.9,97.7,0.9211,55.9,49.9,17.2,15.7,30.2,23.1,41,25.6,55.9,49.8,37.2,33.4,71.7,8.8,R32,1,2018
Villanova,BE,114.6,98.9,0.8448,53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,53.7,49.7,35.2,34.3,65.1,3.6,R32,6,2019
Liberty,BSth,109.2,99.6,0.7428,55.9,48.9,17.2,20.5,25.2,26.4,26.7,32.7,56.4,48.3,36.8,33.3,63.5,-0.6,R32,12,2019
Hawaii,BW,106.9,95,0.7945,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,71.4,0.8,R32,13,2016
UC Irvine,BW,107.2,97.6,0.7458,51.3,44.1,17.5,16.7,33.7,27,28.7,33,50.1,40.7,35.9,33.9,66.6,0.7,R32,13,2019
UAB,CUSA,102.7,100.1,0.5721,47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,46.6,47.4,33.2,31.9,65.3,-7.5,R32,14,2015
Middle Tennessee,CUSA,103.9,99.5,0.6224,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,68.5,-3.2,R32,15,2016
Middle Tennessee,CUSA,111.2,96.6,0.8339,54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,53.6,47.1,36.9,32.8,65.8,2,R32,12,2017
Marshall,CUSA,108.8,102.5,0.6633,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,55.5,48.7,35.9,35,75.9,-2.5,R32,13,2018
Yale,Ivy,109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,66.8,-0.1,R32,12,2016
Buffalo,MAC,114.5,102.7,0.7761,54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,54.3,48.4,37.1,33.1,73.8,-1.3,R32,13,2018
Buffalo,MAC,113.6,95.3,0.8819,53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,74.9,5.5,R32,6,2019
Northern Iowa,MVC,115.4,93,0.9228,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,58.5,5.3,R32,5,2015
Northern Iowa,MVC,109.7,96.7,0.8109,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,63.7,-2.1,R32,11,2016
Wichita St.,MVC,110.3,87.8,0.9321,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,R32,11,2016
Wichita St.,MVC,117.2,92.2,0.9403,54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,50.7,42,40.2,31.2,70,4.1,R32,10,2017
San Diego St.,MWC,103.1,87.5,0.8691,46.6,43.5,18.6,21.1,35.7,29.7,36.2,25.7,45.9,42.3,32,30.6,61.2,1.3,R32,8,2015
Murray St.,OVC,110.4,98.6,0.7852,54.8,46.5,17.2,19.4,32,30.7,33.5,27.4,56.2,48.3,34.9,28.9,70.2,1.2,R32,12,2019
Oregon,P12,114.3,99.1,0.8379,52.3,48,16.9,16.7,30.2,31.5,29.1,35.4,50.8,47.1,36.9,33.2,66.9,3,R32,8,2015
Utah,P12,115.8,97.3,0.8807,55.1,48,18.2,15.3,29.2,27.8,37.9,23,55.5,44.5,36.3,37.1,66.9,5.6,R32,3,2016
USC,P12,113.3,100.6,0.7966,52.2,50.1,15.7,17.9,31,31.4,36.8,24,51,47.2,36.2,36.8,70.1,1.3,R32,11,2017
Washington,P12,105.6,93.1,0.8097,52.1,47.5,19.8,24.2,29.1,34.9,34.7,34,51.9,46,35,33.4,67.3,3.1,R32,9,2019
Georgia St.,SB,109.5,98,0.7802,52,45.8,16.3,23.2,30,34.8,37.7,39.8,53.4,43.1,32.2,33.1,63.2,-3,R32,14,2015
Arkansas Little Rock,SB,107.6,96.7,0.7732,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2.1,R32,12,2016
Wofford,SC,116.4,97.1,0.8892,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,53.9,50.6,41.4,32.6,67.1,4,R32,7,2019
Arkansas,SEC,113.2,96,0.8696,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,3.9,R32,5,2015
Kentucky,SEC,123.2,95.1,0.9517,53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,5,R32,4,2016
Arkansas,SEC,114.9,99.8,0.8339,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,50,46.7,36.5,33.2,71,3.9,R32,8,2017
Alabama,SEC,107.9,95.3,0.8074,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,-1.1,R32,9,2018
Auburn,SEC,114,96.9,0.8672,50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,48.7,47.7,35.7,35.1,73.8,4.3,R32,4,2018
Florida,SEC,115.2,93.9,0.9132,50.8,48.7,14.3,20,28.7,30.5,32.6,32.4,47.6,46.6,37,35.2,68.5,1.4,R32,6,2018
Tennessee,SEC,114.2,92,0.9225,50.8,46.7,17.9,20.4,33.4,31.1,35.5,37.6,47.3,46.1,38,31.8,67.1,6.4,R32,3,2018
Florida,SEC,110.3,91.6,0.8947,49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,49.5,48.5,33.4,31.6,64.3,0.7,R32,10,2019
Stephen F. Austin,Slnd,110.3,96.5,0.8235,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,68.2,-1.2,R32,14,2016
Saint Mary's,WCC,118,93.8,0.9334,57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,56.9,45.4,39.4,30,61.2,3.9,R32,7,2017
Wichita St.,MVC,116.4,93,0.9295,52.4,44.7,16.2,18.2,35,26.2,46.9,35.7,52.3,43.6,35,31.1,65.1,8.1,R32,1,2014
Kansas,B12,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34,35.5,68.2,6.9,R32,2,2014
Villanova,BE,115.2,92.5,0.926,53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,53.8,43,35.6,35.3,67.6,8.3,R32,2,2014
Creighton,BE,125.2,101.9,0.9144,58.9,48.5,15,14.8,27.7,27.8,33.9,33,56.3,47,41.4,34.2,65.4,5.6,R32,3,2014
Syracuse,ACC,114.2,92.8,0.9156,48.2,48,14.8,21.9,38.1,31.5,38.2,36.7,47.7,45.5,33.1,34.5,61.5,7.9,R32,3,2014
Saint Louis,A10,104.9,90.4,0.8477,49.6,44.4,18.6,21,28.8,29,40.3,35.6,50.5,44.4,31.7,29.6,67.5,3.8,R32,5,2014
North Carolina,ACC,113.4,94.7,0.8883,49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,49.7,46.7,33.6,31.7,70.8,4.2,R32,6,2014
Oregon,P12,118.1,100,0.872,53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,51,49.4,38.9,32.4,69.3,2.6,R32,7,2014
Texas,B12,112.4,96.7,0.8507,47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,46.9,42.9,32.7,35.2,68.7,3.6,R32,7,2014
Gonzaga,WCC,113.6,93.3,0.9064,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,53.6,43.3,39,31.8,66.5,4,R32,8,2014
Memphis,Amer,112.6,97,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33,31,69.5,2.8,R32,8,2014
Pittsburgh,ACC,117.1,94,0.9261,50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,50.1,45.5,35.1,32.6,63.8,4.1,R32,9,2014
Harvard,Ivy,111.9,95.2,0.8641,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,49.7,44.9,38.6,32.7,65.5,2.2,R32,12,2014
North Dakota St.,Sum,113.9,103,0.7613,54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,55.4,46.1,34.7,37.8,64,0.2,R32,12,2014
Stephen F. Austin,Slnd,112,101.6,0.7527,52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,52.3,50,34.9,34.7,63.5,1.7,R32,12,2014
Mercer,ASun,109.6,101.8,0.6993,54,46.8,17.5,19,32,31.1,37.3,41,51.6,46.9,38.8,31,65.2,-2.8,R32,14,2014
Gonzaga,WCC,118.9,90.2,0.9599,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55,42.1,36.5,32.9,65.1,7.6,R32,1,2013
Saint Louis,A10,108,87.5,0.9181,50.4,45.5,17.6,23.6,27.9,29.1,44,35,50,44.1,34,33.1,64.7,3.8,R32,4,2013
VCU,A10,113.8,92.1,0.9195,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,50.5,50.1,35.1,32.9,68.1,2.6,R32,5,2013
Butler,A10,109.2,93,0.86240000000000006,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,R32,6,2013
Memphis,CUSA,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33,69.3,4.5,R32,6,2013
San Diego St.,MWC,106,89.5,0.8752,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,48.3,43.3,32.7,31.8,66.8,0.4,R32,7,2013
Illinois,B10,109.8,92.7,0.8749,47.5,48.7,17.6,21.7,33.6,33,31,36,47.4,47.4,31.7,34.1,66.1,2.4,R32,7,2013
Creighton,MVC,116.4,95,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,R32,7,2013
Colorado St.,MWC,116.6,98.4,0.8759,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,64.8,1.9,R32,8,2013
North Carolina,ACC,111.6,93,0.8902,49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,46.3,46.3,37.2,34.4,71.4,2.5,R32,8,2013
Temple,A10,110.7,96.9,0.822,49,49,15.9,20.1,30.8,31.4,35.6,34.1,48.8,47.3,32.8,35.3,66.8,1.5,R32,9,2013
Iowa St.,B12,117.2,98.3,0.8828,53.8,48,18.5,18.6,34.2,28.5,33,32.7,51.9,48.8,37.4,31.1,69.6,0.7,R32,10,2013
Minnesota,B10,112.6,92.5,0.905,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,64.1,2.1,R32,11,2013
California,P12,105.4,92.3,0.8211,48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,0.5,R32,12,2013
Mississippi,SEC,110,95.6,0.834,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,70.9,1.6,R32,12,2013
