"","seed1","team1","seed2","team2","score1","score2","winner","region","year","Conf_team1","W_team1","L_team1","PPG_team1","PPG_Allowed_team1","Pace_team1","MOV_team1","SOS_team1","OSRS_team1","DSRS_team1","Adj_ORtg_team1","Adj_DRtg_team1","Conf_team2","W_team2","L_team2","PPG_team2","PPG_Allowed_team2","Pace_team2","MOV_team2","SOS_team2","OSRS_team2","DSRS_team2","Adj_ORtg_team2","Adj_DRtg_team2"
"46",1,"USC",16,"UNC Greensboro",71,25,"USC","region4",2025,"Big Ten",31,4,80.7,59.4,76.1,21.29,18.18,23.05,16.42,116.36,64.67,"Southern",25,7,63.8,52.4,65.8,11.38,-6.2,-6.77,5.85,90.03,90.45
"47",8,"California",9,"Mississippi State",46,59,"Mississippi State","region4",2025,"ACC",25,9,72.9,64.4,72.8,8.5,14.01,12.99,9.52,108.48,78.95,"SEC",22,12,75,64.1,73.3,10.85,12.58,14.63,8.8,109.11,78.13
"48",5,"Kansas State",12,"Fairfield",85,41,"Kansas State","region4",2025,"Big 12",28,8,78.9,58.9,70.9,20.08,13.15,20.07,13.17,118.47,73.19,"MAAC",28,5,71.9,55,68.9,16.94,-5.72,4.59,5.7,100.9,86.3
"49",4,"Kentucky",13,"Liberty",79,78,"Kentucky","region4",2025,"SEC",23,8,75.9,63.4,71.9,12.52,16.49,16.44,12.57,112.89,75.04,"CUSA",26,7,72.1,60.2,69.5,11.85,1.41,6.14,3.66,103.13,89.31
"50",6,"Iowa",11,"Murray State",92,57,"Iowa","region4",2025,"Big Ten",23,11,74.4,65.8,72.5,8.65,18.4,14.92,12.13,111.23,75.08,"MVC",25,8,86.8,72.7,77.8,14.15,1.55,20.84,-5.13,111.18,91.87
"51",3,"Oklahoma",14,"Florida Gulf Coast",81,58,"Oklahoma","region4",2025,"SEC",27,8,84.7,68.9,81,15.77,17.64,26.54,6.87,113.82,71.59,"A-Sun",30,4,71.7,54,68.1,17.74,-5.26,1.99,8.53,100.35,84.87
"52",7,"Oklahoma State",10,"South Dakota State",68,74,"South Dakota State","region4",2025,"Big 12",25,7,76.4,60.4,73,16.03,8.95,14.85,10.13,108.97,76.17,"Summit",30,4,75.7,62.4,69.7,13.26,4.69,10.21,6.54,109.44,86.28
"53",2,"UConn",15,"Arkansas State",103,34,"UConn","region4",2025,"Big East",37,3,81.7,52.2,69.4,29.55,16.12,24.78,20.89,128.11,64.58,"Sun Belt",21,11,72.1,67.6,75.8,4.44,-3.01,4.49,-3.67,91.68,91.62
"54",1,"USC",9,"Mississippi State",96,59,"USC","region4",2025,"Big Ten",31,4,80.7,59.4,76.1,21.29,18.18,23.05,16.42,116.36,64.67,"SEC",22,12,75,64.1,73.3,10.85,12.58,14.63,8.8,109.11,78.13
"55",5,"Kansas State",4,"Kentucky",80,79,"Kansas State","region4",2025,"Big 12",28,8,78.9,58.9,70.9,20.08,13.15,20.07,13.17,118.47,73.19,"SEC",23,8,75.9,63.4,71.9,12.52,16.49,16.44,12.57,112.89,75.04
"56",6,"Iowa",3,"Oklahoma",62,96,"Oklahoma","region4",2025,"Big Ten",23,11,74.4,65.8,72.5,8.65,18.4,14.92,12.13,111.23,75.08,"SEC",27,8,84.7,68.9,81,15.77,17.64,26.54,6.87,113.82,71.59
"57",10,"South Dakota State",2,"UConn",57,91,"UConn","region4",2025,"Summit",30,4,75.7,62.4,69.7,13.26,4.69,10.21,6.54,109.44,86.28,"Big East",37,3,81.7,52.2,69.4,29.55,16.12,24.78,20.89,128.11,64.58
"58",1,"USC",5,"Kansas State",67,61,"USC","region4",2025,"Big Ten",31,4,80.7,59.4,76.1,21.29,18.18,23.05,16.42,116.36,64.67,"Big 12",28,8,78.9,58.9,70.9,20.08,13.15,20.07,13.17,118.47,73.19
"59",3,"Oklahoma",2,"UConn",59,82,"UConn","region4",2025,"SEC",27,8,84.7,68.9,81,15.77,17.64,26.54,6.87,113.82,71.59,"Big East",37,3,81.7,52.2,69.4,29.55,16.12,24.78,20.89,128.11,64.58
"60",1,"USC",2,"UConn",64,78,"UConn","region4",2025,"Big Ten",31,4,80.7,59.4,76.1,21.29,18.18,23.05,16.42,116.36,64.67,"Big East",37,3,81.7,52.2,69.4,29.55,16.12,24.78,20.89,128.11,64.58
"61",1,"South Carolina",1,"Texas",74,57,"South Carolina","final four",2025,"SEC",35,4,79.1,58,71.7,21.1,23.4,23.41,21.09,122.67,63.46,"SEC",35,4,77.8,56.2,71.3,21.69,19.32,20.35,20.67,119.77,65.41
"62",1,"UCLA",2,"UConn",51,85,"UConn","final four",2025,"Big Ten",34,3,77.9,58.6,70.9,19.27,18.68,20.34,17.61,120.05,69.17,"Big East",37,3,81.7,52.2,69.4,29.55,16.12,24.78,20.89,128.11,64.58
"63",1,"South Carolina",2,"UConn",59,82,"UConn","championship",2025,"SEC",35,4,79.1,58,71.7,21.1,23.4,23.41,21.09,122.67,63.46,"Big East",37,3,81.7,52.2,69.4,29.55,16.12,24.78,20.89,128.11,64.58
"64",1,"South Carolina",16,"Presbyterian",91,39,"South Carolina","region1",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.18,63.89,"Big South",21,15,57.6,58.9,67.7,-1.36,-11.13,-14.2,-1.41,77.85,99.16
"65",8,"UNC",9,"Michigan State",59,56,"UNC","region1",2024,"ACC",20,13,67.8,62.5,70.4,5.27,15.69,9.52,11.44,104.5,76.17,"Big Ten",22,9,82.8,67,74,15.77,10.91,20.65,6.04,116.31,81.29
"66",5,"Oklahoma",12,"Florida Gulf Coast",73,70,"Oklahoma","region1",2024,"Big 12",23,10,76.5,69.1,77.3,7.36,15.85,18.36,4.85,107.34,76.96,"A-Sun",29,5,74.9,55,68.6,19.85,-2.61,6.19,7.9,105.72,84.81
"67",4,"Indiana",13,"Fairfield",89,56,"Indiana","region1",2024,"Big Ten",26,6,79.5,64.4,71.4,15.13,14.38,18.03,11.47,117.02,77.46,"MAAC",31,2,72.5,55.2,70.2,17.3,-10.1,2.88,2.14,95.6,89.09
"68",6,"Nebraska",11,"Texas A&M",61,59,"Nebraska","region1",2024,"Big Ten",23,12,72.4,64.2,70.5,8.2,14.64,12.43,10.41,108.66,77.44,"SEC",19,13,68.4,58.7,71,9.66,11.6,7.72,13.54,102.92,74.28
"69",3,"Oregon State",14,"Eastern Washington",73,51,"Oregon State","region1",2024,"Pac-12",27,8,70.9,59.8,67.7,11.17,16.76,13.53,14.41,112.4,74.19,"Big Sky",29,6,68.3,56.1,68.6,12.2,-3.31,1.61,5.78,94.37,83.67
"70",7,"Ole Miss",10,"Marquette",67,55,"Ole Miss","region1",2024,"SEC",24,9,68.5,59.4,70.3,9.12,12.19,7.79,13.52,103.19,74.45,"Big East",23,9,69.6,59.5,70.1,10.13,8.85,9.03,9.95,103.61,78.29
"71",2,"Notre Dame",15,"Kent State",81,67,"Notre Dame","region1",2024,"ACC",28,7,78.6,61.1,74.4,17.51,14.74,19.24,13.02,110.99,68.76,"MAC",21,11,71.8,62.8,70.7,9,-0.65,4.88,-0.66,97.96,91.92
"72",1,"South Carolina",8,"UNC",88,41,"South Carolina","region1",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.18,63.89,"ACC",20,13,67.8,62.5,70.4,5.27,15.69,9.52,11.44,104.5,76.17
"73",5,"Oklahoma",4,"Indiana",68,75,"Indiana","region1",2024,"Big 12",23,10,76.5,69.1,77.3,7.36,15.85,18.36,4.85,107.34,76.96,"Big Ten",26,6,79.5,64.4,71.4,15.13,14.38,18.03,11.47,117.02,77.46
"74",6,"Nebraska",3,"Oregon State",51,61,"Oregon State","region1",2024,"Big Ten",23,12,72.4,64.2,70.5,8.2,14.64,12.43,10.41,108.66,77.44,"Pac-12",27,8,70.9,59.8,67.7,11.17,16.76,13.53,14.41,112.4,74.19
"75",7,"Ole Miss",2,"Notre Dame",56,71,"Notre Dame","region1",2024,"SEC",24,9,68.5,59.4,70.3,9.12,12.19,7.79,13.52,103.19,74.45,"ACC",28,7,78.6,61.1,74.4,17.51,14.74,19.24,13.02,110.99,68.76
"76",1,"South Carolina",4,"Indiana",79,75,"South Carolina","region1",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.18,63.89,"Big Ten",26,6,79.5,64.4,71.4,15.13,14.38,18.03,11.47,117.02,77.46
"77",3,"Oregon State",2,"Notre Dame",70,65,"Oregon State","region1",2024,"Pac-12",27,8,70.9,59.8,67.7,11.17,16.76,13.53,14.41,112.4,74.19,"ACC",28,7,78.6,61.1,74.4,17.51,14.74,19.24,13.02,110.99,68.76
"78",1,"South Carolina",3,"Oregon State",70,58,"South Carolina","region1",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.18,63.89,"Pac-12",27,8,70.9,59.8,67.7,11.17,16.76,13.53,14.41,112.4,74.19
"79",1,"Iowa",16,"Holy Cross",91,65,"Iowa","region2",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.22,77.96,"Patriot",21,13,62.9,56.9,66.3,6.06,-8.52,-5.69,2.17,87.8,92.9
"80",8,"West Virginia",9,"Princeton",63,53,"West Virginia","region2",2024,"Big 12",25,8,73.7,57.8,73,15.85,11.67,13.54,13.98,107.92,71.62,"Ivy",25,5,69.2,56.2,65.7,12.97,4.13,6.45,10.65,106.19,81.29
"81",5,"Colorado",12,"Drake",86,72,"Colorado","region2",2024,"Pac-12",24,10,75.2,64.3,71.5,10.94,17.67,17.75,10.86,113.66,74.97,"MVC",29,6,81.2,70,75.6,11.23,1.77,14.43,-1.43,105.03,88.1
"82",4,"Kansas State",13,"Portland",78,65,"Kansas State","region2",2024,"Big 12",26,8,71.7,57.9,71.2,13.74,14.42,11.85,16.3,107.44,69.7,"WCC",21,13,67.9,62.4,72.5,5.5,3.77,2.82,4.29,91.91,82.52
"83",6,"Louisville",11,"Middle Tennessee",69,71,"Middle Tennessee","region2",2024,"ACC",24,10,73.4,63.3,71.6,10.09,14.48,14.18,10.39,111.61,78.33,"CUSA",30,5,71.4,55.5,66.4,15.86,0.87,5.38,11.35,106.24,81.67
"84",3,"LSU",14,"Rice",70,60,"LSU","region2",2024,"SEC",31,6,85.9,63.3,77.9,22.59,11.46,25.71,8.34,116.35,73.54,"AAC",19,15,67.2,63,71.1,4.15,3.82,2.73,5.24,95.76,84.71
"85",7,"Creighton",10,"UNLV",87,73,"Creighton","region2",2024,"Big East",26,6,73.4,62.8,67.9,10.59,12.53,14.72,8.4,114.54,82.62,"MWC",30,3,79,59.1,70.3,19.97,-0.34,13.71,5.93,111.11,83.6
"86",2,"UCLA",15,"California Baptist",84,55,"UCLA","region2",2024,"Pac-12",27,7,77.3,61.1,71.5,16.18,17.82,19.24,14.76,116.39,70.45,"WAC",28,4,80.3,71.3,78.2,9,-5.67,11.54,-8.22,95.88,92.42
