"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"98","Northern Arizona","Big Sky",27,8,79.3,71.7,76.5,7.6,0.26,13.91,-6.8,102.01,93.43,2025
"99","Davidson","A-10",19,14,62.7,57.7,66.1,5,2.93,-1.2,8.31,94.86,85.11,2025
"100","Temple","AAC",20,11,66.7,62.5,72.5,4.19,2.87,3.61,3.45,93.5,84.71,2025
"101","Purdue Fort Wayne","Horizon",27,9,76,60.3,71.1,15.69,-5.38,6.19,0.72,99.31,90.03,2025
"102","North Texas","AAC",25,9,69.9,62.7,73.8,7.21,-0.59,3.83,2.79,93.71,85.71,2025
"103","Georgetown","Big East",12,19,62.2,64,66.3,-1.74,10.08,2.68,3.7,99.53,91.2,2025
"104","Oral Roberts","Summit",24,9,82.9,73.8,78.3,9.12,1.11,14.03,-7.75,101.19,93.67,2025
"105","Stephen F. Austin","Southland",29,6,77.2,62.8,74.4,14.37,-4.99,9.49,-3.6,100.05,92.47,2025
"106","UCF","Big 12",12,18,67.7,72.5,72.5,-4.87,10.76,6.73,-0.84,99,91.27,2025
"107","Arizona State","Big 12",10,22,70.3,76.9,73.9,-6.56,12.36,10.81,-5.02,101.23,93.89,2025
"108","Buffalo","MAC",30,7,73.9,61.3,73,12.65,-4.78,4.44,1.32,95.51,88.49,2025
"109","College of Charleston","CAA",25,8,74.7,57.8,72.6,16.94,-8.67,5,0.74,95.41,88.57,2025
"110","San Diego State","MWC",25,10,68.8,61.6,68.8,7.17,0.9,2.41,3.09,96.64,89,2025
"111","Purdue","Big Ten",10,19,63.4,75.3,72.4,-11.86,17.31,4.63,0.82,97.22,91.41,2025
"112","Butler","Big East",16,18,62.1,63.6,65.7,-1.56,6.87,0.76,4.55,97.79,91.07,2025
"113","Pittsburgh","ACC",13,19,62.5,67,72.5,-4.53,9.82,1.29,4,91.82,85.45,2025
"114","Rice","AAC",17,17,65.9,62.9,70.2,3.03,2.13,2.01,3.14,94.17,87.59,2025
"115","Western Kentucky","CUSA",23,9,72.7,63.5,71.2,9.22,-2.04,6.3,-1.24,101.22,94.6,2025
"116","Arkansas","SEC",10,22,68.2,78.3,74.8,-10.09,15.13,7.98,-2.94,98.99,92.63,2025
"117","DePaul","Big East",13,19,65.2,70.4,71.2,-5.22,9.99,6.3,-1.54,97.13,90.52,2025
"118","Troy","Sun Belt",24,14,80.1,73.5,79.3,6.61,-0.34,13.04,-8.33,98.57,93.06,2025
"119","Illinois State","MVC",24,13,76,68.9,70.7,7.05,-1.37,7.51,-3.02,104.45,98.79,2025
"120","Tulane","AAC",17,13,68.3,65.1,75.9,3.27,1.17,3.37,1.06,91.5,86.31,2025
"121","Rhode Island","A-10",17,16,60.2,55.2,64,5,-0.58,-3.56,7.98,94.02,88.06,2025
"122","Vermont","AmEast",21,13,60.9,52.9,61.7,8.06,-4.39,-3.45,7.84,97.89,90.28,2025
"123","Kent State","MAC",21,12,73.1,63.3,71.9,9.76,-1.13,3.65,0.65,96.63,91.25,2025
"124","Lamar","Southland",22,8,67.5,56.1,67.9,11.4,-4.44,-0.9,5.18,95.34,88.58,2025
"125","Washington State","WCC",21,14,66.8,64.6,69.1,2.17,2.83,2.68,1.55,96.24,91.07,2025
"126","Oregon State","WCC",19,16,62.4,61.5,66.2,0.83,4.09,-1.76,5.88,93.29,87.95,2025
"127","Providence","Big East",13,19,56.2,60,66,-3.88,9.08,-3.84,7.89,90.55,85.74,2025
"128","Cleveland State","Horizon",27,10,74.5,61.2,70,13.35,-5.9,4.14,-0.37,100.28,95.02,2025
"129","Coastal Carolina","Sun Belt",23,9,74.3,64.8,75.2,9.59,-3.79,5.78,-2.04,95.77,91.82,2025
"130","Duquesne","A-10",21,13,71.9,65.5,74.6,6.47,-1.75,6.82,-3.12,95.87,91.48,2025
"131","Southeastern Louisiana","Southland",26,6,64.8,53,67.3,11.88,-6.35,-3.44,7.06,92.2,86.61,2025
"132","Toledo","MAC",24,9,69,63.3,69.7,5.67,-0.02,0.55,2.65,95.82,91.95,2025
"133","Illinois-Chicago","MVC",15,18,66.3,63.5,68.8,2.79,2.01,-1.87,4.87,94.32,91.15,2025
"134","Quinnipiac","MAAC",28,5,67.6,57.7,66.8,9.91,-7.15,1.33,1.43,97.91,93.33,2025
"135","East Carolina","AAC",17,15,62.8,61.6,71.6,1.19,1.53,-1.5,4.22,89.33,86.23,2025
"136","San Francisco","WCC",15,16,65.2,62.9,69.5,2.26,0.26,0.18,2.34,92.2,89.14,2025
"137","North Dakota State","Summit",21,12,69.8,65.3,72,4.45,-0.93,1.37,0.92,92.98,90.12,2025
"138","Boise State","MWC",18,15,69.5,65.9,70.7,3.58,1.09,3.28,-1.03,95.24,93.07,2025
"139","Tulsa","AAC",17,15,67.4,65.3,74.8,2.09,0.11,1.31,0.9,89.49,87.24,2025
"140","Lehigh","Patriot",27,7,68.4,58.2,69.1,10.12,-6.75,1.63,0.26,94.87,92.35,2025
"141","Bowling Green","MAC",18,13,71.7,68.1,69.7,3.65,-2.05,5.06,-3.46,99.91,98.13,2025
"142","New Mexico State","CUSA",18,16,64.8,63.6,70.7,1.26,1.95,-0.02,1.19,93.56,92.83,2025
"143","New Mexico","MWC",18,14,70.4,68.6,73.1,1.88,0.1,4.75,-3.66,94.51,93.55,2025
"144","Houston","Big 12",5,25,58.6,68.5,69.9,-9.9,10.93,-1.79,2.82,90.41,90.25,2025
"145","UMass","A-10",17,15,64.3,58.7,69.2,5.66,-4.62,-1.37,2.4,90.6,89.11,2025
"146","Albany (NY)","AmEast",26,7,63.1,53.6,63.1,9.48,-7.43,-3.8,4.65,95.47,93.66,2025
"147","Arkansas State","Sun Belt",21,11,72.1,67.6,75.8,4.44,-3.01,4.49,-3.67,91.68,91.62,2025
"148","Tennessee Tech","OVC",26,6,71.3,63.5,70.8,7.75,-5.87,2.4,-1.73,95.44,94.51,2025
"149","Miami (OH)","MAC",19,12,66.5,59.1,70.7,7.32,-4.22,-2.81,3.42,87.91,87.73,2025
"150","Virginia Commonwealth","A-10",12,19,58.1,56.5,65.2,1.61,-1.22,-6.58,6.98,88.86,88.86,2025
"151","Hawaii","Big West",22,10,59.3,53.1,66.8,6.16,-5.94,-7.57,7.79,85.93,85.67,2025
"152","UC-Davis","Big West",21,12,66.5,55.8,70.3,10.73,-6.65,-2.24,2.4,88.19,88.31,2025
"153","Abilene Christian","WAC",22,13,71.5,61.8,71.3,9.74,-5.04,1.12,-1.03,93.95,94.38,2025
"154","Dayton","A-10",18,13,63.8,62.5,71.2,1.35,-1.34,-0.88,0.9,89.87,90.4,2025
"155","Idaho","Big Sky",18,12,65.9,59.9,71,5.93,-4.27,-2.98,2.74,87,87.73,2025
"156","North Carolina A&T","CAA",19,12,63.5,55.5,68.2,8,-5.95,-5.39,5.1,89.26,89.88,2025
"157","Old Dominion","Sun Belt",18,16,67,65.6,71.3,1.41,-0.71,0.2,-0.57,91.09,92.08,2025
"158","Southern Indiana","OVC",23,13,71.3,63.4,72,7.89,-5.52,0.91,-1.55,93.61,94.32,2025
"159","UNC Greensboro","Southern",25,7,63.8,52.4,65.8,11.38,-6.2,-6.77,5.85,90.03,90.45,2025
"160","Pennsylvania","Ivy",15,13,65.3,61.6,67.7,3.68,-1.66,-1.75,0.74,91.79,93.79,2025
"161","Colgate","Patriot",23,10,68.1,57.8,66.1,10.27,-9.86,-0.68,-0.38,95.64,97.38,2025
"162","Louisiana","Sun Belt",13,16,62.5,61.7,70.3,0.79,-1.17,-5.37,4.16,86.63,88.65,2025
"163","UC-Irvine","Big West",21,10,60.1,54.3,66.5,5.81,-7.02,-6.62,5.4,86.85,88.54,2025
"164","Air Force","MWC",18,15,66.4,63.7,69.4,2.7,-2.71,-1.04,-0.38,92.16,94.59,2025
"165","Pacific","WCC",15,19,65.1,66.1,72.3,-0.97,0.47,-0.32,-1.42,85.34,88.1,2025
"166","Tarleton State","WAC",20,14,63.9,58.5,67.4,5.41,-4.48,-5.28,3.49,91.1,93.08,2025
"167","Campbell","CAA",22,13,64.9,58.5,68.3,6.34,-5.92,-3.59,1.7,90.93,93.98,2025
"168","Fresno State","MWC",19,15,63.3,64.6,66.9,-1.26,0.28,-3.31,0.71,92.41,96.95,2025
"169","Wichita State","AAC",10,22,62.2,67.6,73.6,-5.38,3.36,-2.27,-0.37,86.29,90.44,2025
"170","UT Arlington","WAC",18,14,72.2,67.5,76.2,4.72,-3.3,2.75,-5.42,89.97,93.71,2025
"171","UAB","AAC",16,16,67,67.5,72.3,-0.44,-1.31,1.34,-4.1,91.67,95.82,2025
"172","Eastern Illinois","OVC",18,12,62.7,61,69.7,1.7,-4.51,-6.58,3.78,86.17,90.14,2025
"173","Montana","Big Sky",14,18,66.4,68.7,69,-2.25,1.65,0.3,-3.15,95.55,100.12,2025
"174","Lindenwood","OVC",23,11,69.1,65.1,70.5,4,-6.26,-0.86,-2.07,92.83,96.74,2025
"175","Holy Cross","Patriot",19,12,60.7,57.4,67,3.32,-6.32,-5.79,2.8,86.8,90.79,2025
"176","Louisiana Tech","CUSA",18,16,66.4,65.4,71.4,1,-0.66,-0.84,-2.35,90.16,95.32,2025
"177","UC San Diego","Big West",20,16,63.8,58.3,70.5,5.56,-6.94,-3.39,0.1,85.93,90.69,2025
"178","Army","Patriot",25,8,62.9,56.6,65.8,6.33,-8.48,-5.4,1.91,89.02,93.55,2025
"179","Eastern Kentucky","A-Sun",21,12,72.5,65.9,73.8,6.58,-7.34,0.9,-4.62,90.06,95.63,2025
"180","Fordham","A-10",15,15,60,61.1,69.4,-1.13,-2.94,-4.7,0.86,84.95,91.67,2025
"181","Brown","Ivy",12,15,60.1,62.6,67.5,-2.52,0.92,-4.07,0.18,87.36,93.85,2025
"182","Saint Mary's (CA)","WCC",14,17,62.1,64.2,67.7,-2.1,-1.84,-3.79,-0.15,89.02,95.19,2025
"183","Chattanooga","Southern",17,15,61.1,56.6,66.6,4.5,-4.9,-8.73,4.76,85.54,91.12,2025
"184","Marshall","Sun Belt",15,20,67.7,67.9,70.7,-0.29,-0.95,-0.42,-3.74,91.76,97.94,2025
"185","Central Arkansas","A-Sun",23,10,68.7,62.6,69.2,6.03,-5.86,-3.84,-0.34,90.22,95.9,2025
"186","Howard","MEAC",22,12,65.7,60.5,71.5,5.18,-9.36,-3.05,-1.13,87.2,93.54,2025
"187","St. Thomas","Summit",16,14,71.3,69.2,71.7,2.17,-2.77,1.41,-5.68,92.98,99.26,2025
"188","Utah Valley","WAC",19,13,65.8,61.6,72.4,4.16,-5.54,-4.46,0.16,84.52,91.09,2025
"189","Wofford","Southern",17,12,66.5,59.9,70.1,6.59,-3.41,-2.22,-2.18,89.65,95.39,2025
"190","Bradley","MVC",14,19,58.5,60.3,68.4,-1.79,-1.41,-10.42,5.99,83.16,89.98,2025
