seed1,team1,seed2,team2,score1,score2,winner,region,year,team1_win,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
10,Creighton,2,Iowa,64,62,Creighton,region2,2022,1,-10.100000000000009,-5.799999999999997,-7.700000000000003,-4.300000000000001,-1.5899999999999999,-11.680000000000001,5.78,-3.930000000000007,2.289999999999999
1,South Carolina,5,UNC,69,61,South Carolina,region2,2022,1,-2.1999999999999886,-5.099999999999994,-4.299999999999997,2.879999999999999,6.019999999999998,-0.3200000000000003,9.209999999999999,6.36999999999999,-8.189999999999998
3,Iowa State,10,Creighton,68,76,Creighton,region2,2022,0,2.3000000000000114,-0.7000000000000028,2.700000000000003,2.9300000000000015,3.1500000000000004,4.01,2.08,2.239999999999995,-5.170000000000002
1,South Carolina,10,Creighton,80,50,South Carolina,region2,2022,1,-3.1999999999999886,-13.700000000000003,0.7999999999999972,10.52,7.759999999999998,1.2100000000000009,17.08,0.4099999999999966,-26.01
1,Stanford,16,Montana State,78,37,Stanford,region3,2022,1,4.400000000000006,-11.299999999999997,1.4000000000000057,15.750000000000002,18.74,15.05,19.68,27.120000000000005,-21.490000000000002
8,Kansas,9,Georgia Tech,77,58,Kansas,region3,2022,1,10.899999999999999,12.5,10.5,-1.6999999999999993,1.8499999999999996,10.81,-10.660000000000002,3.0900000000000034,5.010000000000005
5,Virginia Tech,12,Florida Gulf Coast,81,84,Florida Gulf Coast,region3,2022,0,-7.299999999999997,-0.8000000000000043,-0.5,-6.52,12.75,0.02999999999999936,9.45,13.219999999999999,-2.780000000000001
4,Maryland,13,Delaware,102,71,Maryland,region3,2022,1,6.799999999999997,3.3000000000000043,0.7999999999999972,3.5,16.98,13.59,7.9,22.319999999999993,-7.25
6,Ohio State,11,Missouri State,63,56,Ohio State,region3,2022,1,13.400000000000006,11.699999999999996,6,1.6799999999999997,3.789999999999999,14.58,-7.73,17.410000000000004,7.949999999999996
3,LSU,14,Jackson State,83,77,LSU,region3,2022,1,-5.799999999999997,-1,-2.799999999999997,-4.84,21.33,4.01,12.469999999999999,7.25,-14.480000000000004
7,Utah,10,Arkansas,92,69,Utah,region3,2022,1,2.3000000000000114,1.7000000000000028,-2.200000000000003,0.6400000000000006,0.8100000000000005,3.1800000000000015,-1.7300000000000004,6.359999999999999,5.359999999999999
2,Texas,15,Fairfield,70,52,Texas,region3,2022,1,7.200000000000003,-0.20000000000000284,3.5,7.45,19.72,14.2,12.969999999999999,11.260000000000005,-24.68
1,Stanford,8,Kansas,91,65,Stanford,region3,2022,1,1.7000000000000028,-8.400000000000006,-6.099999999999994,10.110000000000001,4.669999999999998,5.23,9.549999999999999,12.689999999999998,-8.470000000000006
12,Florida Gulf Coast,4,Maryland,65,89,Maryland,region3,2022,0,-0.7000000000000028,-8,-4.200000000000003,7.32,-14.799999999999999,-7.08,-3.6500000000000004,-16.75,-0.6899999999999977
6,Ohio State,3,LSU,79,64,Ohio State,region3,2022,1,4.5,3.999999999999993,0.9000000000000057,0.5,-0.8600000000000012,4.48,-4.84,4.340000000000003,6.390000000000001
7,Utah,2,Texas,56,78,Texas,region3,2022,0,4,11.400000000000006,1.7999999999999972,-7.44,-0.22999999999999865,5.710000000000001,-13.379999999999999,4.459999999999994,15.5
1,Stanford,4,Maryland,72,66,Stanford,region3,2022,1,-5.299999999999997,-10.400000000000006,-3,5.100000000000001,3.869999999999999,-2.1999999999999993,11.159999999999998,-0.3199999999999932,-13.39
6,Ohio State,2,Texas,63,66,Texas,region3,2022,0,6.299999999999997,8.799999999999997,5.400000000000006,-2.5500000000000007,-4.76,4.52,-11.83,0.39000000000000057,11.439999999999998
1,Stanford,2,Texas,59,50,Stanford,region3,2022,1,1.5999999999999943,0,0.4000000000000057,1.5500000000000007,3.789999999999999,5.210000000000001,0.129999999999999,6.640000000000001,-1.3000000000000043
1,Louisville,16,Albany (NY),83,51,Louisville,region4,2022,1,14.699999999999996,6,8.299999999999997,8.669999999999998,24.5,25.6,8.92,27.729999999999997,-19
8,Nebraska,9,Gonzaga,55,68,Gonzaga,region4,2022,0,8.799999999999997,8.199999999999996,8.099999999999994,0.6399999999999988,0.9399999999999995,8.790000000000001,-7.220000000000001,4.039999999999992,2.489999999999995
5,Oregon,12,Belmont,70,73,Belmont,region4,2022,0,1.7999999999999972,4.799999999999997,-0.09999999999999432,-3,15.61,8.09,3.84,4.6200000000000045,-9.219999999999999
