"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"216",10,"Miami (FL)",2,"Auburn",79,61,"Miami (FL)","region2",2022
"217",1,"Kansas",4,"Providence",66,61,"Kansas","region2",2022
"218",11,"Iowa State",10,"Miami (FL)",56,70,"Miami (FL)","region2",2022
"219",1,"Kansas",10,"Miami (FL)",76,50,"Kansas","region2",2022
"220",1,"Arizona",16,"Wright State",87,70,"Arizona","region3",2022
"221",8,"Seton Hall",9,"TCU",42,69,"TCU","region3",2022
"222",5,"Houston",12,"UAB",82,68,"Houston","region3",2022
"223",4,"Illinois",13,"Chattanooga",54,53,"Illinois","region3",2022
"224",6,"Colorado State",11,"Michigan",63,75,"Michigan","region3",2022
"225",3,"Tennessee",14,"Longwood",88,56,"Tennessee","region3",2022
"226",7,"Ohio State",10,"Loyola (IL)",54,41,"Ohio State","region3",2022
"227",2,"Villanova",15,"Delaware",80,60,"Villanova","region3",2022
"228",1,"Arizona",9,"TCU",85,80,"Arizona","region3",2022
"229",5,"Houston",4,"Illinois",68,53,"Houston","region3",2022
"230",11,"Michigan",3,"Tennessee",76,68,"Michigan","region3",2022
"231",7,"Ohio State",2,"Villanova",61,71,"Villanova","region3",2022
"232",1,"Arizona",5,"Houston",60,72,"Houston","region3",2022
"233",11,"Michigan",2,"Villanova",55,63,"Villanova","region3",2022
"234",5,"Houston",2,"Villanova",44,50,"Villanova","region3",2022
"235",1,"Gonzaga",16,"Georgia State",93,72,"Gonzaga","region4",2022
"236",8,"Boise State",9,"Memphis",53,64,"Memphis","region4",2022
"237",5,"UConn",12,"New Mexico State",63,70,"New Mexico State","region4",2022
"238",4,"Arkansas",13,"Vermont",75,71,"Arkansas","region4",2022
"239",6,"Alabama",11,"Notre Dame",64,78,"Notre Dame","region4",2022
"240",3,"Texas Tech",14,"Montana State",97,62,"Texas Tech","region4",2022
"241",7,"Michigan State",10,"Davidson",74,73,"Michigan State","region4",2022
"242",2,"Duke",15,"Cal State Fullerton",78,61,"Duke","region4",2022
"243",1,"Gonzaga",9,"Memphis",82,78,"Gonzaga","region4",2022
"244",12,"New Mexico State",4,"Arkansas",48,53,"Arkansas","region4",2022
"245",11,"Notre Dame",3,"Texas Tech",53,59,"Texas Tech","region4",2022
"246",7,"Michigan State",2,"Duke",76,85,"Duke","region4",2022
"247",1,"Gonzaga",4,"Arkansas",68,74,"Arkansas","region4",2022
"248",3,"Texas Tech",2,"Duke",73,78,"Duke","region4",2022
"249",4,"Arkansas",2,"Duke",69,78,"Duke","region4",2022
"250",8,"UNC",2,"Duke",81,77,"UNC","final four",2022
"251",1,"Kansas",2,"Villanova",81,65,"Kansas","final four",2022
"252",8,"UNC",1,"Kansas",69,72,"Kansas","championship",2022
"253",1,"Duke",16,"North Dakota State",85,62,"Duke","region1",2019
"254",8,"VCU",9,"UCF",58,73,"UCF","region1",2019
"255",5,"Mississippi State",12,"Liberty",76,80,"Liberty","region1",2019
"256",4,"Virginia Tech",13,"Saint Louis",66,52,"Virginia Tech","region1",2019
"257",6,"Maryland",11,"Belmont",79,77,"Maryland","region1",2019
"258",3,"LSU",14,"Yale",79,74,"LSU","region1",2019
"259",7,"Louisville",10,"Minnesota",76,86,"Minnesota","region1",2019
"260",2,"Michigan State",15,"Bradley",76,65,"Michigan State","region1",2019
"261",1,"Duke",9,"UCF",77,76,"Duke","region1",2019
"262",12,"Liberty",4,"Virginia Tech",58,67,"Virginia Tech","region1",2019
"263",6,"Maryland",3,"LSU",67,69,"LSU","region1",2019
"264",10,"Minnesota",2,"Michigan State",50,70,"Michigan State","region1",2019
"265",1,"Duke",4,"Virginia Tech",75,73,"Duke","region1",2019
"266",3,"LSU",2,"Michigan State",63,80,"Michigan State","region1",2019
"267",1,"Duke",2,"Michigan State",67,68,"Michigan State","region1",2019
"268",1,"UNC",16,"Iona",88,73,"UNC","region2",2019
"269",8,"Utah State",9,"Washington",61,78,"Washington","region2",2019
"270",5,"Auburn",12,"New Mexico State",78,77,"Auburn","region2",2019
"271",4,"Kansas",13,"Northeastern",87,53,"Kansas","region2",2019
"272",6,"Iowa State",11,"Ohio State",59,62,"Ohio State","region2",2019
"273",3,"Houston",14,"Georgia State",84,55,"Houston","region2",2019
"274",7,"Wofford",10,"Seton Hall",84,68,"Wofford","region2",2019
"275",2,"Kentucky",15,"Abilene Christian",79,44,"Kentucky","region2",2019
"276",1,"UNC",9,"Washington",81,59,"UNC","region2",2019
"277",5,"Auburn",4,"Kansas",89,75,"Auburn","region2",2019
"278",11,"Ohio State",3,"Houston",59,74,"Houston","region2",2019
"279",7,"Wofford",2,"Kentucky",56,62,"Kentucky","region2",2019
"280",1,"UNC",5,"Auburn",80,97,"Auburn","region2",2019
"281",3,"Houston",2,"Kentucky",58,62,"Kentucky","region2",2019
"282",5,"Auburn",2,"Kentucky",77,71,"Auburn","region2",2019
"283",1,"Virginia",16,"Gardner-Webb",71,56,"Virginia","region3",2019
"284",8,"Ole Miss",9,"Oklahoma",72,95,"Oklahoma","region3",2019
"285",5,"Wisconsin",12,"Oregon",54,72,"Oregon","region3",2019
"286",4,"Kansas State",13,"UC-Irvine",64,70,"UC-Irvine","region3",2019
"287",6,"Villanova",11,"Saint Mary's",61,57,"Villanova","region3",2019
"288",3,"Purdue",14,"Old Dominion",61,48,"Purdue","region3",2019
"289",7,"Cincinnati",10,"Iowa",72,79,"Iowa","region3",2019
"290",2,"Tennessee",15,"Colgate",77,70,"Tennessee","region3",2019
"291",1,"Virginia",9,"Oklahoma",63,51,"Virginia","region3",2019
"292",12,"Oregon",13,"UC-Irvine",73,54,"Oregon","region3",2019
"293",6,"Villanova",3,"Purdue",61,87,"Purdue","region3",2019
"294",10,"Iowa",2,"Tennessee",77,83,"Tennessee","region3",2019
"295",1,"Virginia",12,"Oregon",53,49,"Virginia","region3",2019
"296",3,"Purdue",2,"Tennessee",99,94,"Purdue","region3",2019
"297",1,"Virginia",3,"Purdue",80,75,"Virginia","region3",2019
"298",1,"Gonzaga",16,"FDU",87,49,"Gonzaga","region4",2019
"299",8,"Syracuse",9,"Baylor",69,78,"Baylor","region4",2019
"300",5,"Marquette",12,"Murray State",64,83,"Murray State","region4",2019
"301",4,"Florida State",13,"Vermont",76,69,"Florida State","region4",2019
"302",6,"Buffalo",11,"Arizona State",91,74,"Buffalo","region4",2019
"303",3,"Texas Tech",14,"Northern Kentucky",72,57,"Texas Tech","region4",2019
"304",7,"Nevada",10,"Florida",61,70,"Florida","region4",2019
"305",2,"Michigan",15,"Montana",74,55,"Michigan","region4",2019
"306",1,"Gonzaga",9,"Baylor",83,71,"Gonzaga","region4",2019
"307",12,"Murray State",4,"Florida State",62,90,"Florida State","region4",2019
"308",6,"Buffalo",3,"Texas Tech",58,78,"Texas Tech","region4",2019
"309",10,"Florida",2,"Michigan",49,64,"Michigan","region4",2019
"310",1,"Gonzaga",4,"Florida State",72,58,"Gonzaga","region4",2019
"311",3,"Texas Tech",2,"Michigan",63,44,"Texas Tech","region4",2019
"312",1,"Gonzaga",3,"Texas Tech",69,75,"Texas Tech","region4",2019
"313",2,"Michigan State",3,"Texas Tech",51,61,"Texas Tech","final four",2019
"314",5,"Auburn",1,"Virginia",62,63,"Virginia","final four",2019
"315",3,"Texas Tech",1,"Virginia",77,85,"Virginia","championship",2019
"316",1,"Villanova",16,"Radford",87,61,"Villanova","region1",2018
"317",8,"Virginia Tech",9,"Alabama",83,86,"Alabama","region1",2018
"318",5,"West Virginia",12,"Murray State",85,68,"West Virginia","region1",2018
"319",4,"Wichita State",13,"Marshall",75,81,"Marshall","region1",2018
"320",6,"Florida",11,"St. Bonaventure",77,62,"Florida","region1",2018
"321",3,"Texas Tech",14,"Stephen F. Austin",70,60,"Texas Tech","region1",2018
"322",7,"Arkansas",10,"Butler",62,79,"Butler","region1",2018
"323",2,"Purdue",15,"Cal State Fullerton",74,48,"Purdue","region1",2018
"324",1,"Villanova",9,"Alabama",81,58,"Villanova","region1",2018
"325",5,"West Virginia",13,"Marshall",94,71,"West Virginia","region1",2018
"326",6,"Florida",3,"Texas Tech",66,69,"Texas Tech","region1",2018
"327",10,"Butler",2,"Purdue",73,76,"Purdue","region1",2018
"328",1,"Villanova",5,"West Virginia",90,78,"Villanova","region1",2018
"329",3,"Texas Tech",2,"Purdue",78,65,"Texas Tech","region1",2018
"330",1,"Villanova",3,"Texas Tech",71,59,"Villanova","region1",2018
"331",1,"Kansas",16,"Penn",76,60,"Kansas","region2",2018
"332",8,"Seton Hall",9,"NC State",94,83,"Seton Hall","region2",2018
"333",5,"Clemson",12,"New Mexico State",79,68,"Clemson","region2",2018
"334",4,"Auburn",13,"College of Charleston",62,58,"Auburn","region2",2018
"335",6,"TCU",11,"Syracuse",52,57,"Syracuse","region2",2018
"336",3,"Michigan State",14,"Bucknell",82,78,"Michigan State","region2",2018
"337",7,"Rhode Island",10,"Oklahoma",83,78,"Rhode Island","region2",2018
"338",2,"Duke",15,"Iona",89,67,"Duke","region2",2018
"339",1,"Kansas",8,"Seton Hall",83,79,"Kansas","region2",2018
"340",5,"Clemson",4,"Auburn",84,53,"Clemson","region2",2018
"341",11,"Syracuse",3,"Michigan State",55,53,"Syracuse","region2",2018
"342",7,"Rhode Island",2,"Duke",62,87,"Duke","region2",2018
"343",1,"Kansas",5,"Clemson",80,76,"Kansas","region2",2018
"344",11,"Syracuse",2,"Duke",65,69,"Duke","region2",2018
"345",1,"Kansas",2,"Duke",85,81,"Kansas","region2",2018
"346",1,"Virginia",16,"UMBC",54,74,"UMBC","region3",2018
"347",8,"Creighton",9,"Kansas State",59,69,"Kansas State","region3",2018
"348",5,"Kentucky",12,"Davidson",78,73,"Kentucky","region3",2018
"349",4,"Arizona",13,"Buffalo",68,89,"Buffalo","region3",2018
"350",6,"Miami (FL)",11,"Loyola (IL)",62,64,"Loyola (IL)","region3",2018
"351",3,"Tennessee",14,"Wright State",73,47,"Tennessee","region3",2018
"352",7,"Nevada",10,"Texas",87,83,"Nevada","region3",2018
"353",2,"Cincinnati",15,"Georgia State",68,53,"Cincinnati","region3",2018
"354",16,"UMBC",9,"Kansas State",43,50,"Kansas State","region3",2018
"355",5,"Kentucky",13,"Buffalo",95,75,"Kentucky","region3",2018
"356",11,"Loyola (IL)",3,"Tennessee",63,62,"Loyola (IL)","region3",2018
"357",7,"Nevada",2,"Cincinnati",75,73,"Nevada","region3",2018
"358",9,"Kansas State",5,"Kentucky",61,58,"Kansas State","region3",2018
"359",11,"Loyola (IL)",7,"Nevada",69,68,"Loyola (IL)","region3",2018
"360",9,"Kansas State",11,"Loyola (IL)",62,78,"Loyola (IL)","region3",2018
"361",1,"Xavier",16,"Texas Southern",102,83,"Xavier","region4",2018
"362",8,"Missouri",9,"Florida State",54,67,"Florida State","region4",2018
"363",5,"Ohio State",12,"South Dakota State",81,73,"Ohio State","region4",2018
"364",4,"Gonzaga",13,"UNC Greensboro",68,64,"Gonzaga","region4",2018
"365",6,"Houston",11,"San Diego State",67,65,"Houston","region4",2018
"366",3,"Michigan",14,"Montana",61,47,"Michigan","region4",2018
"367",7,"Texas A&M",10,"Providence",73,69,"Texas A&M","region4",2018
"368",2,"UNC",15,"Lipscomb",84,66,"UNC","region4",2018
"369",1,"Xavier",9,"Florida State",70,75,"Florida State","region4",2018
"370",5,"Ohio State",4,"Gonzaga",84,90,"Gonzaga","region4",2018
"371",6,"Houston",3,"Michigan",63,64,"Michigan","region4",2018
"372",7,"Texas A&M",2,"UNC",86,65,"Texas A&M","region4",2018
"373",9,"Florida State",4,"Gonzaga",75,60,"Florida State","region4",2018
"374",3,"Michigan",7,"Texas A&M",99,72,"Michigan","region4",2018
"375",9,"Florida State",3,"Michigan",54,58,"Michigan","region4",2018
"376",1,"Villanova",1,"Kansas",95,79,"Villanova","final four",2018
"377",11,"Loyola (IL)",3,"Michigan",57,69,"Michigan","final four",2018
"378",1,"Villanova",3,"Michigan",79,62,"Villanova","championship",2018
