"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"93","St. Bonaventure","A-10",20,13,73.5,68.6,66,4.82,1.95,2.73,4.04,112.77,102.79,2024
"94","Saint Joseph's","A-10",21,14,75.5,70.5,68.6,4.91,1.67,4.41,2.18,110.48,100.82,2024
"95","Loyola (IL)","A-10",23,10,73.1,67.5,69.3,5.58,2.42,0.8,5.78,104.55,94.73,2024
"96","Princeton","Ivy",24,5,77.1,66.6,65.8,10.45,-1.6,3.46,3.09,115.9,105.39,2024
"97","McNeese State","Southland",30,4,80,62.2,67.6,17.74,-6.81,1.46,4.96,113.18,102.58,2024
"98","George Mason","A-10",20,12,71,65.9,65,5.13,1.85,-1.34,7.7,109.45,99.73,2024
"99","Samford","Southern",29,6,86.1,74.5,74.4,11.57,-3.23,10.58,-4.26,112.06,104.02,2024
"100","Oklahoma State","Big 12",12,20,71,72.7,68,-1.72,7.97,2.57,3.68,109.09,100.48,2024
"101","Arkansas","SEC",16,17,77.8,79.8,72.2,-2.03,8.15,7.46,-1.35,109.7,101.34,2024
"102","Appalachian State","Sun Belt",27,7,78.4,67.1,69.3,11.24,-2.34,1.75,4.29,106.44,97.49,2024
"103","Santa Clara","WCC",20,13,76.9,72.2,69.8,4.67,1.73,4.63,0.76,109.48,102.05,2024
"104","Michigan","Big Ten",8,24,72.9,79,68.9,-6.06,11.34,4.89,0.4,110.96,103.89,2024
"105","UAB","AAC",23,12,77.5,75.1,68.7,2.4,3.73,5.85,-0.71,111.8,104.45,2024
"106","California","Pac-12",13,19,74,77,69.7,-3.06,8,4.77,0.17,109.06,101.59,2024
"107","Notre Dame","ACC",13,20,64,67.2,64.8,-3.12,8.06,-4.29,9.23,103.33,96.43,2024
"108","Louisiana Tech","CUSA",22,10,74.8,64.5,67.5,10.22,-1.69,-0.67,5.5,106.25,98.69,2024
"109","Yale","Ivy",23,10,74.7,67.5,66.1,7.24,0.41,0.18,4.45,108.51,101.46,2024
"110","Georgia Tech","ACC",14,18,71,75.2,68.2,-4.22,8.82,3.28,1.32,108.82,102.44,2024
"111","Arizona State","Pac-12",14,18,69,74,70.6,-4.97,9.55,0.29,4.3,103.75,97.48,2024
"112","Southern Illinois","MVC",19,13,72.7,68.2,65.4,4.44,0.52,-0.36,4.46,109.08,102.83,2024
"113","Charlotte","AAC",19,12,68.7,65.6,63.1,3.13,2.42,-3.45,7.53,108.19,102.01,2024
"114","College of Charleston","CAA",27,8,80.9,73.6,70.4,7.34,-2.38,7.26,-3.17,111.5,105.39,2024
"115","Seattle","WAC",23,14,73.8,66.8,68.6,7,-1.64,-0.29,4.32,105.07,98.82,2024
"116","Northern Iowa","MVC",19,14,73.2,71.1,67.7,2.15,2.86,1.22,2.61,108.51,103.11,2024
"117","West Virginia","Big 12",9,23,69.8,76.8,68.7,-7.03,10.76,3.46,0.27,109.17,103.74,2024
"118","Tulane","AAC",14,17,81.9,80,73.4,1.9,2.68,10.53,-6.88,110.67,105.74,2024
"119","Davidson","A-10",15,17,70.1,67.9,65.9,2.13,3.3,-1.44,5.07,105.94,100.3,2024
