seed1,team1,seed2,team2,score1,score2,winner,region,year,team1_win,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
11,Iowa State,3,Wisconsin,54,49,Iowa State,region2,2022,1,0.5999999999999943,-8.5,0.20000000000000284,9.11,-2.84,-0.6299999999999999,6.91,-3.2700000000000102,-11.590000000000003
10,Miami (FL),2,Auburn,79,61,Miami (FL),region2,2022,1,-7.299999999999997,5.299999999999997,-3.5,-12.670000000000002,-0.20000000000000018,-7.010000000000001,-5.86,-9.669999999999987,9.310000000000002
1,Kansas,4,Providence,66,61,Kansas,region2,2022,1,3.1999999999999886,1.1000000000000085,3.5999999999999943,2.05,2.3900000000000006,4.859999999999999,-1.0600000000000005,6.1200000000000045,0.4399999999999977
11,Iowa State,10,Miami (FL),56,70,Miami (FL),region2,2022,0,-0.5,-12.099999999999994,-0.5999999999999943,11.649999999999999,1.0499999999999998,0.8700000000000001,11.84,4.97999999999999,-14.650000000000006
1,Kansas,10,Miami (FL),76,50,Kansas,region2,2022,1,-0.20000000000000284,-3.6999999999999886,1.7000000000000028,3.55,3.8600000000000003,1.8999999999999995,4.87,3.469999999999999,-7.210000000000008
1,Arizona,16,Wright State,87,70,Arizona,region3,2022,1,0.5999999999999943,-9.100000000000009,2.700000000000003,9.83,13.07,7.09,17.68,7.75,-26.010000000000005
8,Seton Hall,9,TCU,42,69,TCU,region3,2022,0,-5.200000000000003,-1.7999999999999972,1.5,-3.43,1.4800000000000004,-5.33,3.380000000000001,-1.259999999999991,0.7199999999999989
5,Houston,12,UAB,82,68,Houston,region3,2022,1,-4,-17.499999999999993,-5.400000000000006,13.49,6.07,0.34000000000000075,20.21,8.600000000000009,-22.49000000000001
4,Illinois,13,Chattanooga,54,53,Illinois,region3,2022,1,5.200000000000003,1.7000000000000028,1.9000000000000057,3.3899999999999997,13.389999999999999,14.489999999999998,5.27,16.289999999999992,-11.320000000000007
6,Colorado State,11,Michigan,63,75,Michigan,region3,2022,0,2.299999999999997,-11.700000000000003,-1.5,13.98,-4.06,-0.17999999999999972,8.29,4.6000000000000085,-7.8799999999999955
3,Tennessee,14,Longwood,88,56,Tennessee,region3,2022,1,4.099999999999994,-1.0999999999999943,0.7999999999999972,5.130000000000001,15.18,12.52,11.33,14.599999999999994,-18.939999999999998
7,Ohio State,10,Loyola (IL),54,41,Ohio State,region3,2022,1,2.4000000000000057,2.700000000000003,-0.6000000000000085,-0.2999999999999998,5.949999999999999,5.5,1.5699999999999994,11.310000000000002,1.8799999999999955
2,Villanova,15,Delaware,80,60,Villanova,region3,2022,1,-3,-4.1000000000000085,-4.399999999999999,1.0700000000000003,14.120000000000001,4.22,11.9,10.430000000000007,-12.799999999999997
1,Arizona,9,TCU,85,80,Arizona,region3,2022,1,8.099999999999994,0.3999999999999915,5.5,7.79,2.129999999999999,8.03,1.8900000000000006,7.240000000000009,-5.739999999999995
5,Houston,4,Illinois,68,53,Houston,region3,2022,1,-9.900000000000006,-15.699999999999996,-2.9000000000000057,5.860000000000001,0.26000000000000156,-10.029999999999998,16.16,-4.059999999999988,-14.900000000000006
11,Michigan,3,Tennessee,76,68,Michigan,region3,2022,1,-5.8999999999999915,11.599999999999994,-1.0999999999999943,-17.45,0.9199999999999999,-5.04,-11.48,-6.900000000000006,16.799999999999997
7,Ohio State,2,Villanova,61,71,Villanova,region3,2022,0,5.299999999999997,4.6000000000000085,1.499999999999993,0.6600000000000001,-1.450000000000001,4.01,-4.800000000000001,2.9299999999999926,4.890000000000001
1,Arizona,5,Houston,60,72,Houston,region3,2022,0,13.599999999999994,14.499999999999993,7.700000000000003,-0.8100000000000005,-0.3500000000000014,12.399999999999999,-13.55,1.7199999999999989,7.210000000000008
11,Michigan,2,Villanova,55,63,Villanova,region3,2022,0,2.700000000000003,13.400000000000006,3.8999999999999986,-10.68,1.5199999999999996,2.5999999999999996,-11.75,-1.970000000000013,12.170000000000002
5,Houston,2,Villanova,44,50,Villanova,region3,2022,0,3.299999999999997,-7.999999999999993,1.3999999999999986,11.27,-0.019999999999999574,3.9000000000000004,7.35,7.469999999999999,-9.760000000000005
1,Gonzaga,16,Georgia State,93,72,Gonzaga,region4,2022,1,8,-5.700000000000003,5.200000000000003,13.75,6.609999999999999,13.59,8.94,19.52000000000001,-12.320000000000007
8,Boise State,9,Memphis,53,64,Memphis,region4,2022,0,-5.400000000000006,-8.5,-6.099999999999994,3.0700000000000003,3.0999999999999996,-4.35,8.68,2.9200000000000017,-4.409999999999997
5,UConn,12,New Mexico State,63,70,New Mexico State,region4,2022,0,13.700000000000003,-9.000000000000007,-1.5,22.75,7.959999999999999,18.63,16.7,29.340000000000003,-21.97
4,Arkansas,13,Vermont,75,71,Arkansas,region4,2022,1,6.200000000000003,16.799999999999997,6.900000000000006,-10.629999999999999,11.46,12.76,-9.43,4.730000000000004,0.8599999999999994
6,Alabama,11,Notre Dame,64,78,Notre Dame,region4,2022,0,26.099999999999994,14,7.299999999999997,12.010000000000002,3.74,26,-10.25,23.58,1.6399999999999864
3,Texas Tech,14,Montana State,97,62,Texas Tech,region4,2022,1,0,-4.900000000000006,-2.200000000000003,4.85,13.739999999999998,8.67,11.620000000000001,16.63000000000001,-12.540000000000006
7,Michigan State,10,Davidson,74,73,Michigan State,region4,2022,1,2.8000000000000114,-1.8000000000000114,1.8000000000000114,4.7,7.590000000000001,5.859999999999999,8.23,9.379999999999995,-10.069999999999993
2,Duke,15,Cal State Fullerton,78,61,Duke,region4,2022,1,10.699999999999989,-2.799999999999997,1,13.56,9.51,16.78,9.04,24.36,-13.040000000000006
1,Gonzaga,9,Memphis,82,78,Gonzaga,region4,2022,1,4,-6.700000000000003,2.799999999999997,10.65,-0.23000000000000043,2.9299999999999997,6.01,9.850000000000009,-2.8700000000000045
12,New Mexico State,4,Arkansas,48,53,Arkansas,region4,2022,0,-10.099999999999994,-7.3999999999999915,-3.700000000000003,-2.72,-7.41,-14.05,-0.6799999999999997,-11.39,9.679999999999993
11,Notre Dame,3,Texas Tech,53,59,Texas Tech,region4,2022,0,-11.299999999999997,-2.3999999999999915,-1.3999999999999915,-8.8,-1.2199999999999989,-11.809999999999999,1.79,-14.930000000000007,0.020000000000010232
7,Michigan State,2,Duke,76,85,Duke,region4,2022,0,-5.699999999999989,-0.20000000000000284,-0.29999999999999716,-5.48,2.530000000000001,-5.98,3.030000000000001,-7.590000000000003,-2.239999999999995
1,Gonzaga,4,Arkansas,68,74,Arkansas,region4,2022,0,6.700000000000003,-10.700000000000003,1.7999999999999972,17.43,-4.130000000000001,5.409999999999999,6.41,12.920000000000002,-4.1200000000000045
3,Texas Tech,2,Duke,73,78,Duke,region4,2022,0,-3.299999999999997,3.299999999999997,-0.9000000000000057,-6.630000000000001,0.9199999999999999,-2.880000000000001,-2.829999999999999,-4.6499999999999915,3.9399999999999977
4,Arkansas,2,Duke,69,78,Duke,region4,2022,0,-0.7999999999999972,13.5,3.799999999999997,-14.34,-0.20999999999999908,-2.9400000000000004,-11.62,-13.209999999999994,8.870000000000005
2,Villanova,1,Kansas,65,81,Kansas,final four,2022,0,-5.3999999999999915,-4.300000000000011,-5.899999999999999,-1.0599999999999996,-1.5,-6.079999999999999,4.16,-2.4399999999999977,-0.46999999999999886
2,Duke,8,UNC,77,81,UNC,final four,2022,0,-3.3000000000000114,-4.200000000000003,-2.0999999999999943,0.8499999999999996,-1.540000000000001,-3.67,2.9799999999999995,2.3699999999999903,1.980000000000004
1,Kansas,8,UNC,72,69,Kansas,championship,2022,1,-6.300000000000011,-0.5999999999999943,-0.7999999999999972,-5.780000000000001,1.42,-5.700000000000001,0.7000000000000002,-5.170000000000002,1.7000000000000028
1,Duke,16,North Dakota State,85,62,Duke,region1,2019,1,9.700000000000003,-4.799999999999997,6.400000000000006,14.49,14.05,19.330000000000002,11.57,16.41000000000001,-25.820000000000007
8,VCU,9,UCF,58,73,UCF,region1,2019,0,-1.2999999999999972,-2.6000000000000014,1.7000000000000028,1.2999999999999998,-2.71,-1.8499999999999999,0.4400000000000013,-7.730000000000004,-5.760000000000005
5,Mississippi State,12,Liberty,76,80,Liberty,region1,2019,0,3.5999999999999943,9.000000000000007,3.1999999999999886,-5.4799999999999995,12.95,13.26,-2.5700000000000003,8.829999999999998,-4.740000000000009
4,Virginia Tech,13,Saint Louis,66,52,Virginia Tech,region1,2019,1,6.900000000000006,-1.6999999999999957,-2.5999999999999943,8.66,5.5600000000000005,9.61,4.619999999999999,17.989999999999995,-3.0600000000000023
6,Maryland,11,Belmont,79,77,Maryland,region1,2019,1,-15.5,-8.400000000000006,-7.6000000000000085,-7.09,12.69,-5.77,12.66,-0.5200000000000102,-10.560000000000002
3,LSU,14,Yale,79,74,LSU,region1,2019,1,-0.5,-0.30000000000001137,-2.3000000000000114,-0.16000000000000014,10.4,5.8999999999999995,5.07,8.290000000000006,-7.650000000000006
7,Louisville,10,Minnesota,76,86,Minnesota,region1,2019,0,4,-1,0.5,4.99,-0.23000000000000043,2.9000000000000004,1.8600000000000012,3.839999999999989,-3.0799999999999983
2,Michigan State,15,Bradley,76,65,Michigan State,region1,2019,1,11.099999999999994,-0.29999999999999716,1.8999999999999915,11.33,13.24,17.53,7.470000000000001,20.89,-14.89
1,Duke,9,UCF,77,76,Duke,region1,2019,1,10.400000000000006,3.299999999999997,5.900000000000006,7.13,6.4,14.47,-0.9499999999999993,9.790000000000006,-7.840000000000003
12,Liberty,4,Virginia Tech,58,67,Virginia Tech,region1,2019,0,0.20000000000000284,-0.7000000000000028,1,0.8699999999999992,-11.67,-9.73,-4.289999999999999,-10.89,8.490000000000009
6,Maryland,3,LSU,67,69,LSU,region1,2019,0,-9,-7.599999999999994,-4,-1.4299999999999997,0.9299999999999997,-8.29,7.8,-3.8000000000000114,-3.269999999999996
10,Minnesota,2,Michigan State,50,70,Michigan State,region1,2019,0,-7,4.400000000000006,-0.19999999999998863,-11.34,-1.0700000000000003,-7.4399999999999995,-4.970000000000001,-11.039999999999992,7.209999999999994
1,Duke,4,Virginia Tech,75,73,Duke,region1,2019,1,9.200000000000003,5.699999999999996,8.799999999999997,3.4299999999999997,4.19,10.98,-3.379999999999999,1.8200000000000074,-6.299999999999997
3,LSU,2,Michigan State,63,80,Michigan State,region1,2019,0,2.8000000000000114,8.099999999999994,2.5,-5.25,-3.1799999999999997,0.9299999999999997,-9.36,-4.509999999999991,7.939999999999998
1,Duke,2,Michigan State,67,68,Michigan State,region1,2019,0,5.1000000000000085,2.799999999999997,5.1000000000000085,2.33,-0.35999999999999943,4.540000000000001,-2.58,-1.009999999999991,-2.010000000000005
1,UNC,16,Iona,88,73,UNC,region2,2019,1,9.099999999999994,-2.799999999999997,4.5,11.85,16.85,16.89,11.81,16.709999999999994,-21.570000000000007
8,Utah State,9,Washington,61,78,Washington,region2,2019,0,8.900000000000006,2.299999999999997,2.5999999999999943,6.539999999999999,-6.12,5.58,-5.619999999999999,3.299999999999997,3.6099999999999994
5,Auburn,12,New Mexico State,78,77,Auburn,region2,2019,1,1.6000000000000085,4.299999999999997,0.9000000000000057,-2.620000000000001,13.3,9.209999999999999,1.58,8.280000000000001,-6.150000000000006
4,Kansas,13,Northeastern,87,53,Kansas,region2,2019,1,0.29999999999999716,-0.7000000000000028,4,0.9099999999999993,13.489999999999998,8.15,6.25,5.589999999999989,-14.399999999999991
6,Iowa State,11,Ohio State,59,62,Ohio State,region2,2019,0,7.800000000000011,1.8999999999999915,1.5,5.879999999999999,-1.6999999999999993,7.66,-3.469999999999999,8.949999999999989,2.490000000000009
3,Houston,14,Georgia State,84,55,Houston,region2,2019,1,-1.1000000000000085,-12.299999999999997,-4,11.15,3.9600000000000004,2.7399999999999998,13.73,10.019999999999996,-13.549999999999997
7,Wofford,10,Seton Hall,84,68,Wofford,region2,2019,1,8.5,-6.300000000000011,-1.5999999999999943,14.780000000000001,-7.54,1.88,1.7999999999999998,8.700000000000003,2.75
2,Kentucky,15,Abilene Christian,79,44,Kentucky,region2,2019,1,2.200000000000003,1.1000000000000014,0.09999999999999432,1.1100000000000012,17.63,12.45,10.879999999999999,18.159999999999997,-15.420000000000002
